 12800, 700, 2, 0.053405 
25600, 700, 2, 0.114616 
32000, 100, 2, 0.019638 
32000, 1200, 2, 0.228910 
32000, 200, 2, 0.058076 
32000, 400, 2, 0.090670 
32000, 600, 2, 0.121961 
32000, 700, 2, 0.134867 
32000, 900, 2, 0.176141 
3200, 700, 2, 0.020445 
38400, 700, 2, 5.926941 
51200, 700, 2, 8.176250 
64000, 700, 2, 16.275154 
6400, 700, 2, 0.842267 
12800, 700, 4, 0.042021 
25600, 700, 4, 0.161464 
32000, 100, 4, 0.028867 
32000, 1200, 4, 0.275741 
32000, 200, 4, 0.065120 
32000, 400, 4, 0.061947 
32000, 600, 4, 0.151082 
32000, 700, 4, 0.118898 
32000, 900, 4, 0.146042 
3200, 700, 4, 0.038710 
38400, 700, 4, 0.157103 
51200, 700, 4, 0.215385 
64000, 700, 4, 0.233222 
6400, 700, 4, 0.065949 
